"PMID","PMCID","DOI","Version","MID","IsCurrent","IsLive","ReleaseDate","Msg"
"22479184","PMC3315491","10.1371/journal.ppat.1002621","","","",1,"",""
"23818864","PMC3688515","10.1371/journal.pgen.1003565","","","",1,"",""
"24670089","PMC3986905","10.1186/1471-2164-15-237","","","",1,"",""
"25222563","PMC4167408","10.1038/ncomms5910","","","",1,"",""
"25275371","PMC4183435","10.1371/journal.pgen.1004649","","","",1,"",""
"25766138","PMC4340878","10.1186/s12864-015-1311-0","","","",1,"",""
"25735747","PMC4381063","10.1093/nar/gkv150","","","",1,"",""
"26442964","PMC4595836","10.1038/srep14831","","","",1,"",""
"26673755","PMC4682653","10.1371/journal.pone.0145035","","","",1,"",""
"26762976","PMC4756842","10.1093/nar/gkv1536","","","",1,"",""
"26206672","PMC4787818","10.1093/nar/gkv747","","","",1,"",""
"26258987","PMC4918353","10.1038/ncomms8970","","","",1,"",""
"28526842","PMC5438342","10.1038/s41598-017-02110-7","","","",1,"",""
"29394395","PMC5888115","10.1093/nar/gky069","","","",1,"",""
"30137486","PMC6237786","10.1093/nar/gky752","","","",1,"",""
"30371884","PMC6344877","10.1093/nar/gky1018","","","",1,"",""
"31215866","PMC6584129","10.7554/eLife.47691","","","",1,"",""
"31270321","PMC6610081","10.1038/s41467-019-10778-w","","","",1,"",""
"32198399","PMC7083940","10.1038/s41467-020-15238-4","","","",1,"",""
"33172971","PMC7657598","10.1128/mSystems.00980-20","","","",1,"",""
"","","10.1101/2021.06.10.447994","","","",0,"","invalid article id"
"","","10.1101/2021.01.08.426013","","","",0,"","invalid article id"
